Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100.0000000000001,-0.001685956396294633,-0.1734665908327629,-12.95208946862307
103.1177274593056,-0.001643359160266234,-0.1779338248798877,-13.35603913130402
106.3326571637162,-0.001688512345011809,-0.1820661475811841,-13.76972862159994
109.6478196143186,-0.001604733740015566,-0.186689146466477,-14.19521779363863
113.066339794964,-0.001553191479698771,-0.1911403369881783,-14.63446474341543
116.5914401179833,-0.001428359235730094,-0.1962506412988628,-15.08544791138016
120.2264434617414,-0.001196751991491882,-0.2017623459112225,-15.5505514456552
123.9747763028945,-0.001357311037469689,-0.2071148733803456,-16.03106641046486
127.8399719463025,-0.001490775435743288,-0.2130878073567706,-16.52542232892398
131.8256738556409,-0.001501946336691779,-0.2191767752891407,-17.03478252206986
135.9356390878527,-0.00140390301315512,-0.2259719053061442,-17.55922328322789
140.1737418346771,-0.001357071359069178,-0.2330556539200102,-18.09995136200015
144.5439770745929,-0.001441287984192346,-0.2403177676356129,-18.65783302872433
149.0504643386197,-0.001319183028238737,-0.2481735078037811,-19.22888117966359
153.6974515935273,-0.001649818362408731,-0.256255822728834,-19.81991516881703
158.4893192461115,-0.001057294941865541,-0.2652965060210546,-20.42728043306535
163.4305842723139,-0.001574825785348115,-0.2740113955588876,-21.05583319347491
168.5259044750753,-0.001845318214136061,-0.2841921677298858,-21.69975906635941
173.7800828749377,-0.001673518205462638,-0.2944723530538014,-22.36810613403101
179.1980722375336,-0.001599408219104796,-0.3051348326577682,-23.05042758689176
184.7849797422292,-0.001428916777247876,-0.3167433123642449,-23.75576274232462
190.546071796325,-0.001696756921699844,-0.3284756249069949,-24.48295376030647
196.486778999347,-0.00152017875585492,-0.3416298951520681,-25.23044541608388
202.6127012621145,-0.00146948132427637,-0.3552644917435439,-25.99998380602895
208.9296130854042,-0.001611724472553666,-0.3696784540805869,-26.79248721131668
215.4434690031886,-0.001561417655813445,-0.3846281585780317,-27.60877934551871
222.1604091955814,-0.001573420531985942,-0.4007183000609627,-28.44645802039109
229.0867652767775,-0.002039304083526104,-0.4169016062172218,-29.31168348851383
236.2290662634464,-0.001668155999738833,-0.4352630182590572,-30.20082060502855
243.5940447292029,-0.001887803714403917,-0.4536499212725978,-31.11443744880019
251.1886431509582,-0.001269513021887709,-0.4741461666457708,-32.05764982974218
259.0200204531326,-0.001455685134016094,-0.4948570196079138,-33.02540343746824
267.0955587558988,-0.001665512227183723,-0.5168578048991994,-34.02207303926929
