Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100.0000000000001,-0.001955978885309875,-25.09356055242358,-44.98673505072841
103.1177274593056,-0.001823757159334964,-26.55175053854352,-40.39181808195686
106.3326571637162,-0.00191934145975243,-26.9851621836182,-39.60770113900636
109.6478196143186,-0.002188137509850505,-27.17506581400022,-40.17703905692804
113.066339794964,-0.001588817971060101,-27.29062715496366,-40.87476234363248
116.5914401179833,-0.002069281058529659,-27.39747472370028,-41.43870225734075
120.2264434617414,-0.001850275817590427,-27.50000884631354,-42.31443351080672
123.9747763028945,-0.001951293155386426,-27.59186513866135,-43.18639056039839
127.8399719463025,-0.002057651172774878,-27.68901467427282,-43.99391609656396
131.8256738556409,-0.001801144949800899,-27.78685037004805,-44.87143541367857
135.9356390878527,-0.001649758374171338,-27.93735544609601,-45.77057833216526
140.1737418346771,-0.001870390412216919,-28.02606070262594,-46.54159995847905
144.5439770745929,-0.002052498653194299,-28.16194127860843,-47.52035466820679
149.0504643386197,-0.002111081988589467,-28.23591514530015,-48.90628858520455
153.6974515935273,-0.002166983668288529,-28.39061908326054,-49.87600510023879
158.4893192461115,-0.00223052041944982,-28.47039648869334,-50.77706589534342
163.4305842723139,-0.002210309046754455,-28.657322324637,-51.78265378589861
168.5259044750753,-0.002213544554673348,-28.77396777436361,-52.99714600180153
173.7800828749377,-0.002380947176342952,-28.8785077590199,-53.8510001108952
179.1980722375336,-0.001866992851511981,-29.03658744984796,-55.03047120791226
184.7849797422292,-0.001798619019415774,-29.18820253751363,-56.34105490278387
190.546071796325,-0.002119522916758342,-29.34632932874429,-57.46733169369575
196.486778999347,-0.00205152665169888,-29.49637968116361,-58.81944282973427
202.6127012621145,-0.002223030480253958,-29.66578455766272,-60.06933205901758
208.9296130854042,-0.00238228486966104,-29.85624332569161,-61.45150739828159
215.4434690031886,-0.002131805126704561,-30.02810994161847,-62.76860333775908
222.1604091955814,-0.002307602571024457,-30.22666512118074,-64.34634092661406
229.0867652767775,-0.002302817196571628,-30.40735409784517,-65.8249394086816
236.2290662634464,-0.002206797654889504,-30.61012383465346,-67.29550206111381
243.5940447292029,-0.002003037306189477,-30.85071804460364,-68.65342245477544
251.1886431509582,-0.002332511633807666,-31.0565678004657,-70.50145123329126
259.0200204531326,-0.002396239311339786,-31.31857941427185,-71.97987801060462
267.0955587558988,-0.002403222676905969,-31.5646293083341,-73.99122177159164
275.4228703338169,-0.002529070605871589,-31.8708598309178,-75.26687442321432
284.0098047914218,-0.002135683570878642,-32.11456759336885,-77.55082943297062
292.8644564625241,-0.002421437661780527,-32.45376673734639,-79.20523387736554
301.9951720402019,-0.002386578207417784,-32.74444982316191,-81.50298322479104
311.4105584446763,-0.002311034552033234,-33.15664242101439,-83.26446747301816
321.1194909364826,-0.002658104978489315,-33.53699586244112,-85.27546825171548
331.1311214825913,-0.002696127577019393,-33.92782902179417,-87.38309011196134
341.4548873833602,-0.002379654659862657,-34.44836786470189,-88.41235202061196
352.1005201684521,-0.002261588444090364,-34.85169412683393,-91.71417215617883
363.0780547701016,-0.002897639709711216,-35.40564800429905,-92.99713824237544
374.3978389823812,-0.002483803910103225,-36.00105123641234,-94.84640122486945
386.0705432153815,-0.00254537163838031,-36.54669146542381,-97.64541751298395
398.1071705534976,-0.002629987053040246,-37.22325609598066,-98.85582727769204
410.5190671273081,-0.002732640523094554,-37.94540959072498,-100.959087873534
423.3179328088211,-0.002813634826969733,-38.56960616444373,-103.7676220867382
436.5158322401663,-0.002457460002044819,-39.49790902319598,-104.9112359902386
450.1252062061339,-0.002867437832417719,-40.26789185412682,-107.0088875463754
464.158883361278,-0.00268055112782177,-41.25190126900076,-108.7168403693883
478.6300923226388,-0.002029501130907352,-42.35617568505261,-109.663371646231
493.5524741394809,-0.002846971899563904,-43.42981077119515,-110.6813201698397
508.9400951518091,-0.00312534347420862,-44.63494671402374,-111.0328264212413
524.8074602497728,-0.002759063732295638,-45.91473940525216,-111.4739290457653
541.169526546464,-0.002969761081958072,-47.41878815462601,-111.6224438581003
558.0417174769966,-0.003336684745206764,-49.02676265632331,-111.8600952397062
575.4399373371572,-0.002682857409175232,-50.54214397067668,-108.9155318320089
593.3805862753284,-0.002630415086244847,-52.27406897760568,-105.847926212991
611.8805757518222,-0.00261644769544631,-54.59911613239434,-103.6992427497556
630.9573444801936,-0.002640329008249416,-56.22910624709082,-95.40638630328607
650.6288748655577,-0.002735182503856074,-58.51373657630599,-86.98826179784194
670.9137099554116,-0.00270656255694656,-59.56546107005402,-73.98712966852139
691.8309709189366,-0.002953361858415948,-61.05181109494485,-61.63422228192971
713.4003750712568,-0.003164322027661018,-61.39245742750481,-51.08808958817841
735.6422544596418,-0.002909235453779232,-61.44198243256484,-37.35880468932247
758.577575029184,-0.003008905006360578,-61.10262457182888,-31.59112500530173
782.2279563860029,-0.002700190257723099,-60.8865792735108,-22.2722609202907
806.6156921766139,-0.002762804219814921,-60.45608920848184,-17.90220925481093
831.7637711026713,-0.002583942709945737,-60.08798839884744,-17.87852062713107
857.6958985908946,-0.002604576798228181,-59.91631421495057,-14.34813299799512
884.4365191386003,-0.002544183804064168,-59.53566324356306,-13.90933611815412
912.0108393559101,-0.00288349759136862,-60.02145992815151,-12.66864276635311
940.4448517263523,-0.002950590845207436,-59.45372003514755,-12.56813966144149
969.7653591082502,-0.002806389341297481,-59.06252162184206,-12.4406348637981
1000,-0.002920399159706247,-59.32069648384781,-9.36120921337556
1031.177274593056,-0.002050764826149058,-58.7385716547558,-13.09382711498445
1063.326571637162,-0.002969401637961623,-59.49798607863979,-11.07947846041024
1096.478196143186,-0.002291089894282682,-59.20398352433776,-10.52615771636693
1130.663397949639,-0.003450198336995005,-59.46698270989006,-12.04286675209651
1165.914401179832,-0.002898435131022285,-59.29659070012497,-10.62650702027983
1202.264434617414,-0.002298214430586067,-59.31337075246887,-9.388668845053751
1239.747763028945,-0.002912172427099288,-59.12050214124211,-11.12838567978726
1278.399719463024,-0.002691920589972863,-59.77138294089737,-8.581135876876226
1318.256738556408,-0.002325188366008205,-59.73074611790043,-10.27972749375468
1359.356390878526,-0.002996236198629674,-59.88982477709843,-9.185281169568029
1401.737418346771,-0.002175382306418068,-59.78018570269934,-6.880037630578698
1445.439770745928,-0.001773157745308667,-59.79092130222168,-8.091072302141008
1490.504643386197,-0.002142191708572496,-60.18349089541737,-10.5241066701815
1536.974515935272,-0.002661187214666546,-60.37281972560501,-9.097083022320604
1584.893192461114,-0.001888475444410599,-59.90212553838785,-6.082509932764024
1634.305842723139,-0.002411691480481097,-60.30249978381136,-7.636553912774474
1685.259044750752,-0.001919609589469791,-60.04685776240939,-5.767736548402382
1737.800828749376,-0.001328415881311703,-59.96959732626364,-8.044882331119879
1791.980722375335,-0.00248786966199629,-60.3982635636261,-8.239656025256778
1847.849797422291,-0.001653762462235836,-60.54618049557006,-4.085406668800246
1905.460717963248,-0.001759490398205186,-60.1926270564227,-6.23486648378092
1964.867789993467,-0.001170161646399411,-60.4390002877077,-6.737610416429192
2026.127012621144,-0.001756498447950974,-60.48744944319868,-3.012808945719783
2089.29613085404,-0.0006867091109159931,-60.24771079303265,-2.475205534022244
2154.434690031884,-0.001266354880059064,-60.52762337348824,-0.9095455599352604
2221.604091955812,-0.001591365018000719,-60.94166102580985,-2.686894291412489
2290.867652767774,0.0001058282167426298,-60.78363461549398,-2.600759390810918
2362.290662634462,-0.0009815761041174209,-61.03935267063493,2.82044731218042
2435.940447292028,-0.0003951137698191163,-60.88786071723764,-0.4481511283991928
2511.88643150958,-0.0003967760471536817,-60.77811015121472,-0.1220301277821818
2590.200204531324,-0.000286428522503439,-60.43827661893152,2.525324144979535
2670.955587558986,-0.0008624961469003087,-61.13428266929696,4.14745218188942
2754.228703338167,-0.0005668595282666728,-60.68904756470317,3.564563169517555
2840.098047914216,-0.0005791657808965486,-60.95831029723137,1.596382064024731
2928.644564625237,0.001020060001452146,-60.81670674694435,4.275554731654054
3019.951720402017,0.0003319484661456964,-61.15112289193291,4.734713073382181
3114.105584446761,0.001202328037942296,-61.10441884292145,6.944193463118893
3211.194909364823,0.001867703824002248,-60.74975450819849,8.124509634128815
3311.311214825912,0.001722852901398174,-61.0201831070318,5.126431003344749
3414.548873833603,0.002347770869408584,-61.19456947114781,6.915410972947683
3521.00520168452,0.00193289889807308,-60.80020200856826,7.296541306507166
3630.780547701015,0.002456256488205633,-60.95946705348078,7.062898727142183
3743.978389823812,0.003953473029402527,-60.74694702215834,10.81539435964342
3860.705432153814,0.003037088449877371,-60.9131372900077,9.123794092737242
3981.071705534974,0.002958486508150754,-60.51584381672161,10.91885900802666
4105.19067127308,0.004347044173770547,-60.65658988727012,9.698499118526087
4233.179328088209,0.004650482627869946,-60.23688561508165,12.19908411865341
4365.158322401659,0.004628206385681967,-61.10205433776236,13.05356808419864
4501.252062061337,0.006256818974610907,-60.58407229301477,13.29924579338024
4641.58883361278,0.004268838897511685,-60.30432532530347,13.1523139371961
4786.300923226383,0.006277289528363821,-60.75267496634214,15.37832846095978
4935.524741394807,0.006976941399451906,-61.05535664164339,15.05511273359079
